Role,Companies,Location,Experience,Skills
Data Scientist - Bangalore MNC - C2H - Webex Interview,Collabera Technologies Private Limited,Bengaluru,7-12 Yrs,"Tensorflow
Data Science
Keras
DATA SCIENTIST
Machine Learning
Numpy
Python"
Senior Data Scientist - Artificial Intelligence - Online/ Ecommerce,Change Leaders,"Navi Mumbai, Mumbai",3-7 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
"Data Scientist, Data Science Engineer Required with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Mumbai, Thane",0-5 Yrs,"python
oracle
Oracle Developer
ai
python developer
python programmer
machine learning
data science trainees"
Data Scientist/ Academic Counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Chennai, Bengaluru",2-7 Yrs,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Data Science
Multivariate Analysis
Factor Analysis
Natural Language Processing
Reinforcement Learning
Neural Networks
Market Basket Analysis
Decision Trees"
Senior Data Scientist,Decision Point,Gurgaon,3-5 Yrs,"Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
Data Scientist - Machine Learning & Statistical Analysis - R/python,Talent Stock Solutions,Delhi,2-5 Yrs,"Data Science
R
C
Data Scientist
Statistical Analyst
Machine Learning
Algorithm
Python"
Data Scientist,Zen3Tech (A Tech Mahindra Company),Hyderabad,3-8 Yrs,"R
A/B Testing
Data Manipulation
Machine Learning
Python"
Data Scientist,KONE Elevator India Pvt. Ltd,Pune,3-5 Yrs,"predictive algorithms
K-Means
Github
Generalized Linear Model
random forest
Clustering
Machine Learning
Deep Learning"
Data Scientist,Extentia Information Technology Pvt Ltd,Pune,0-2 Yrs,"Machine Learning
Python"
Data Scientist | Integreon Managed Solutions | Mumbai,INTEGREON MANAGED SOLUTIONS INDIA PVT LIMITED,Mumbai,2-7 Yrs,"analytics
python
tableau
regression
predictive modeling
data scientist
statistical modeling
market analysis"
Data Scientist,Bigshyft Hiring for Indus OS,Mumbai,2-5 Yrs,"cassandra
Scala
Hadoop
Spark
Python"
Senior Data Scientist (NLP),Visible Alpha Solutions India Pvt. Ltd.,Mumbai,5-7 Yrs,"Java
R
NLP
Algorithms
Linux
Web Technologies
Programming
Information Retrieval"
Senior Data Scientist,Johnson Controls India Private Limited,Bengaluru(Whitefield),5-6 Yrs,"NLP
Image Processing
Natural Language Processing
Text Mining
Computer Vision
Machine Learning"
"Manager, Data Scientist || Fiserv || Chennai Location",Fiserv India Pvt Ltd,Chennai,15-24 Yrs,"Predictive Modeling
R
Requirement Gathering
Hadoop
Big Data
Data Mining
New Business
Business Development"
Data Scientist,Black Knight India Solutions Private Limited,Hyderabad,6-10 Yrs,"Financial Analysis
R
Finance
Data Analysis
Chartered Financial Analyst
Macroeconomics
SQL Scripting
Analytics"
Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-9 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
"Hiring For Data Scientist-research and Analyst, Kalyani Nagar, PunR",Wolters Kluwer India Pvt Ltd,Pune,4-7 Yrs,"texanomies
categorization
Content Analysis
Tagging
Content Research"
Tomtom is Hiring For Senior Data Scientist,TomTom India Private Limited,Pune,8-12 Yrs,"Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
Senior Data Scientist ( AVP ) – Leading Finance Company – Bangalore,Hector and Streak Consulting Pvt Ltd,Bengaluru,7-10 Yrs,"Data Science
Algorithms
Artificial Intelligence
Machine Learning
Deep Learning
Fraud Detection"
Data Scientist - Bangalore MNC - C2H - Webex Interview,Collabera Technologies Private Limited,Bengaluru,7-12 Yrs,"Tensorflow
Data Science
Keras
DATA SCIENTIST
Machine Learning
Numpy
Python"
Senior Data Scientist - Artificial Intelligence - Online/ Ecommerce,Change Leaders,"Navi Mumbai, Mumbai",3-7 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
"Data Scientist, Data Science Engineer Required with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Mumbai, Thane",0-5 Yrs,"python
oracle
Oracle Developer
ai
python developer
python programmer
machine learning
data science trainees"
Data Scientist,Bigshyft Hiring for Decision Point Analytics,Gurgaon,2-5 Yrs,"Java
Hadoop
Data Mining
Python
SQL"
Data Scientist,Bigshyft Hiring for Jubna,Noida,2-4 Yrs,"R
Hadoop
Big data
Python
SQL"
Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
Data Scientist,Bigshyft Hiring for Roadzen,Delhi,3-7 Yrs,"R
Computer Vision
Machine Learning
Deep Learning
Python"
Data Scientist,Bigshyft Hiring for ALTEN Calsoft Labs,Bengaluru,3-7 Yrs,"Scala
Hadoop
Predictive Modelling
SQL
Python"
Data Scientist,Bigshyft Hiring for ThoughtFocus,Bengaluru,3-5 Yrs,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
Data Scientist,Bigshyft Hiring for Valiance Solutions,Noida,1-3 Yrs,"Scala
Data Mining
Spark"
Lead Data Scientist,Bigshyft Hiring for Meru Mobility Tech Pvt. Ltd,Mumbai,5-10 Yrs,"NLP - Natural Language Processing
R
Algorithms
Machine Learning
Python"
Data Scientist,Bigshyft Hiring for Global Gene Corp,"Mumbai, Ahmedabad",4-9 Yrs,"NLP - Natural Language Processing
R
Data Mining
Machine Learning
Python"
Data Scientist,Bigshyft Hiring for Worley,Mumbai,5-10 Yrs,"R
Algorithms
Spark
Machine Learning ML
Python"
Senior Data Scientist,Bigshyft Hiring for Draup,Bengaluru,2-5 Yrs,"Spark
Aws
Natural Language Processing NLP
Deep Learning
Python"
Data Scientist,Bigshyft Hiring for Zycus,Bengaluru,2-5 Yrs,"Hive
Hadoop
MySQL
Spark
Python"
Data Scientist,Bigshyft Hiring for Payu,Gurgaon,3-5 Yrs,"Neo4j
Hadoop
Machine Learning ML
AWS
Python"
Data Scientist,Bigshyft Hiring for Payu,Bengaluru,3-5 Yrs,"Neo4j
Hadoop
Machine Learning ML
AWS
Python"
Data Scientist,Bigshyft Hiring for Khatabook,Bengaluru,3-5 Yrs,"Java
Machine Learning ML
Elastic Search"
Principal Data Scientist,Bigshyft Hiring for DirecTech Labs,Noida,8-13 Yrs,"Statistical Modelling
Machine Learning
Python
SQL
Predictive Analytics"
Data Scientist,Bigshyft Hiring for Indium Software,Chennai,4-7 Yrs,"R
Machine Learning ML
Statistical Modelling
SQL
Python"
Principal Data Scientist,Bigshyft Hiring for Cuelogic Technologies,Pune,4-7 Yrs,"Data Structures
Big Data
Machine Learning
Python"
Sr Data Scientist,Bigshyft Hiring for Embibe,Bengaluru,7-10 Yrs,"NLP - Natural Language Processing
R
Statistical Modelling
MATLAB
Python"
Junior Data Scientist - Deep & Machine Learning,i3systems Pvt Ltd,Mumbai,1-3 Yrs,"NLP
Data Pipeline
Data Scientist
MySQL
Neural Networks
Statistical Analyst
Data Modeling
Machine Learning"
Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Predictive Modeling
Data Science
Plant Maintenance
Advanced Analytics
Process Mining
Statistical Modeling
Tableau
Sap Lumira"
Senior Data Scientist - IIT/NIT/BITS,AlgonoX Technologies,Hyderabad,2-5 Yrs,"Data Science
Java
C++
Docker
Artificial Intelligence
Image Processing
Text Analytics
Natural Language Processing"
Data Scientist,Wcities Content Solutions Pvt. Ltd.,Mumbai,2-6 Yrs,"Artificial Intelligence
data research
Data Mining
Data Analyst
Machine Learning
SQL
Data Science
R"
Senior Data Scientist,Bigshyft Hiring for ThoughtFocus,Bengaluru,6-8 Yrs,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
Data Scientist,Bigshyft Hiring for Mobile Programming LLC,Bengaluru,4-6 Yrs,"R
Algorithms
MongoDB
Statistical Modelling
Python"
Lead Data Scientist,Bigshyft Hiring for Brillio,Bengaluru,8-12 Yrs,"Hadoop
Spark
Machine Learning ML
Statistical Modelling
Python"
Data Scientist,Bigshyft Hiring for Arya.ai,Mumbai,2-5 Yrs,"Machine Learning ML
Deep Learning
Python"
Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad,3-8 Yrs,"Predictive Modeling
R
Data Scientist
Data Management
Machine Learning
Python
SQL"
Data Scientist/ Analyst - Machine Learning/deep Learning,EchoIndia,Delhi,3-6 Yrs,"ArcGIS
Google Maps
NLP
Data Scientist
Data Management
Statistical Modeling
Tableau
Machine Learning"
Data Scientist - Python/ SQL,Catalyst,Bengaluru,2-7 Yrs,"Data Science
Java
R
NLP
Algorithms
Data Scientist
Machine Learning
Statistical Analysis"
Data Scientist - Intern,Magzter Digital Private Limited,Chennai(Anna Nagar East),0-1 Yrs,"deep learning
algorithms
python
data extraction
data mining
machine learning
sql"
Data Scientist- Clevertap,Gladwin Analytics Private Limited (OPC),Mumbai,2-4 Yrs,"Data Scientist
Postgresql
Machine learning
clevertap
Data science
Tableau
Data Analytics
Analytics"
Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Germany",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
Data Scientist - R/spss/python,Serving Skill,Japan,2-6 Yrs,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
Data Scientist - R/ SQL/ Python,eHireo,Bengaluru,3-7 Yrs,"Business Intelligence
Data Scientist
PySpark
Qlikview
Tableau
Data Analytics
AWS
QlikSense"
Data Scientist - Machine Learning - Ecommerce/ Internet - PhD,BuzzHire,"Delhi NCR, Bengaluru",3-8 Yrs,"Data Science
Data Scientist
Artificial Intelligence
Data Management
Big Data
Data Mining
Machine Learning
PhD"
"Data Scientist, Machine Learning & AI Openings with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Navi Mumbai, Mumbai, Thane",6-11 Yrs,"deep learning and development
python
ai
lead data scientist
r developer
machine learning
python developer
artificial intelligence"
Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad,3-8 Yrs,"Predictive Modeling
Interpersonal Communication
R
Creative Problem Solving
Neural Networks
Time Series
Machine Learning
Statistics"
Data Scientist - Python/pandas/ Numpy,Catalyst,Bengaluru,3-8 Yrs,"Tensorflow
Data Scientist
Pandas
Machine Learning
Numpy
Deep Learning
Python"
Data Scientist - Ecommerce & Product Development - Iit/nit/iisc/iiit,BuzzHire,Gurgaon,3-6 Yrs,"Data Science
Predictive Modeling
NoSQL
Data Scientist
Data Management
CPLEX
Cassandra
Statistical Modeling"
Data Scientist,Tookitaki,Bengaluru,3-5 Yrs,"Operational risk
data science
Analytical
Artificial Intelligence
Machine learning
SCALA
big data
Forecasting"
Data Scientist - Sr. Analyst,Societe Generale Global Solution Centre Pvt Ltd,Bengaluru,2-4 Yrs,"Workflow Analysis
VBA
Finance
Banking
Client Reporting
Budget Management
Advanced Excel
Dashboards"
Data Scientist,Bigshyft Hiring for Embibe,Bengaluru,3-6 Yrs,"NLP - Natural Language Processing
R
Statistical Modelling
MATLAB
Python"
Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,2-7 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
Data Scientist,Dvara Trust,Hyderabad,3-5 Yrs,"Effective Communication
Algorithms
Use Cases
Data Structures
Web Technologies
Continuous Improvement
Machine Learning"
Data Scientist,Narayana Hrudayalaya Ltd,Bengaluru,2-7 Yrs,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Data Scientist
data research
Neural Networks"
Data Scientist,Danske IT & Support Services India Pvt Ltd,Bengaluru,2-4 Yrs,"python
r
tableau
sas
MS Office
Statistics
sql"
We are hiring For Senior Data Scientist Role - Mumbai,RANDSTAD INDIA PVT LTD,Mumbai,4-9 Yrs,"data scientist
Machine Learning
Deep Learning
Data Science
Cloud Computing
Data Mining
Data Extraction
Data Visualization"
Data Scientist,Peoplefy Infosolutions Pvt. Ltd.,Mumbai,5-9 Yrs,"Data Science
R
Logistic Regression
Text Analytics
Statistical Modeling
Data Mining
Tableau
Machine Learning"
Sr Data Scientist,ManpowerGroup Services India Private Limited,Mumbai,5-10 Yrs,"Matplotlib
NoSQL
Statistical Modeling
Data Mining
Seaborn
Tableau
Machine Learning
AWS"
Data Scientist,Bigshyft Hiring for OnlineSales.ai,Pune,3-6 Yrs,"R
Data Mining
Spark
Machine Learning
Python"
Data Scientist,Bigshyft Hiring for Promptcloud,Bengaluru,2-3 Yrs,"Tensorflow
Natural Language Processing NLP
Machine Learning ML
Python"
Data Scientist,Bigshyft Hiring for Newgen Software,Noida,2-5 Yrs,"Data Science
Tensorflow
Natural Language Processing NLP
Python"
Data Scientist/Data Analyst/Data Engineering,Similarityx solutions private limited,"Chennai, Bengaluru, Hyderabad",0-2 Yrs,"tableau
data management
data analysis
oracle
data mining
hadoop
machine learning
sql server"
Data Scientist - Machine Learning,TalPro,Gurgaon,3-6 Yrs,"Data Science
Logistic Regression
Data Scientist
Bagging and Boosting
Recommendation systems
Random Forests
SVM
Bayesian theory"
Data Scientist - R Programming + SQL - KPO,Maven Workforce Pvt. Ltd,Bengaluru,2-4 Yrs,"Data Science
SAS
Data Scientist
Data Management
Statistics
Machine Learning
SQL"
Data Scientist - Python/Pandas/Numpy,Catalyst,Bengaluru,3-8 Yrs,"Tensorflow
Data Scientist
Pandas
Machine Learning
data engineering
Numpy
Deep Learning
Python"
Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python"
"Lead Data Scientist - 8+ yrs, Bangalore Location",Careernet Technologies Pvt Ltd,Bengaluru,7-11 Yrs,"Data Science
decision tree
NLP
Artificial Intelligence
Natural Language Processing
Neural Networks
random forest
Machine Learning"
Data Scientist - Machine Learning/ NLP,TalPro,Gurgaon,2-4 Yrs,"Pattern Recognition
R
NLP
Logistic Regression
MySQL
Computer Vision
Machine Learning
Deep Learning"
AWS Data Scientist- Exponentia.ai- Mumbai,Exponentia.ai,Mumbai,5-10 Yrs,"s3
Data Science
python
r
predictive modeling
Lead Data Scientist
machine learning
aws lambda"
Data Scientist,Bigshyft Hiring for Cimpress India,Bengaluru,3-7 Yrs,"Java
Machine Learning ML
Statistical Modelling
Deep Learning
Python"
Data Scientist,Dvara Trust,Hyderabad,3-5 Yrs,"Effective Communication
Algorithms
Use Cases
Data Structures
Web Technologies
Continuous Improvement
Machine Learning"
Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,2-7 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
Data Scientist,Danske IT & Support Services India Pvt Ltd,Bengaluru,2-4 Yrs,"python
r
tableau
sas
MS Office
Statistics
sql"
Data Scientist- NLP/Deep Learning- Mumbai (5+ years).,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Mumbai,5-8 Yrs,"Data Science
NLP
Deep Learning
Java
Algorithms
Artificial Intelligence
Data Structures
Statistics"
Data Scientist,Peoplefy Infosolutions Pvt. Ltd.,Mumbai,5-9 Yrs,"Data Science
R
Logistic Regression
Text Analytics
Statistical Modeling
Data Mining
Tableau
Machine Learning"
Data Scientist,Bigshyft Hiring for Appyhigh,Gurgaon,2-4 Yrs,"Data Mining
Statistical Modelling
NOsql
Python"
Data Scientist,Bigshyft Hiring for NextGen Invent Corporation,Noida,2-4 Yrs,"R
Hive
Data Mining
MATLAB
Machine Learning"
Data Scientist,Bigshyft Hiring for Econolytics,Bengaluru,2-5 Yrs,"R
Data Warehousing
Machine Learning ML
Statistical Modelling
Python"
Data Scientist Rasa Chatbot Developer,Epic Tech Research Pvt Limited,Pune(Bavdhan),3-7 Yrs,"Artificial Intelligence
Rasa framework
Python
Use Cases
Web Technologies
Web Application
Machine Learning
Test Cases"
Data Scientist,Eighteen Pixels India Private Limited,Delhi NCR(Lodhi Colony),3-5 Yrs,"python
NLP
structural equation modelling
Artificial Intelligence
Natural Language Processing
social network analysis
Neural Networks
Machine Learning"
Hiring For Data Analyst/ Data Scientist For an Organisation in Delhi,M/s SIWA SEARCHER PVT. LTD.,Delhi NCR,3-6 Yrs,"Statistical Modeling
Data Mining
Advanced Excel
Data Cleaning
Algorithm
Python"
Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
Data Scientist - Analytics Product,Hexaconcepts,Bengaluru,4-8 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Statistical Modeling
Data Analytics
Machine Learning
Statistics"
Mgr - Data Scientist ( Immediate Joinees ONLY _ 15 days ),Pylon Management Consulting Pvt Ltd,"Gurgaon, Noida",6-9 Yrs,"Logistic Regression
Time Series Analysis
Cluster Analysis
deep learning
advanced analytics
python
client engagement
statistical modeling"
Lead Data Scientist,Lobo Staffing Solutions Private Limited,Mumbai,10-18 Yrs,"R
Project Management
Customer Loyalty
Tableau
Management Skills
Analytics
SQL
Solution Architecture"
Senior Data Scientist,Wolters Kluwer India Pvt Ltd,"Pune, Mumbai",5-9 Yrs,"Computer science
Text mining
Operations research
data science
Neural networks
Analytical
Machine learning
Data collection"
Data Scientist - Image Recognition/ Machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
Lead Data Scientist,Lobo Staffing Solutions Private Limited,Mumbai,10-18 Yrs,"Project Management
Customer Loyalty
Tableau
Management Skills
Analytics
SQL
Solution Architecture"
Data Scientist,Tookitaki,Bengaluru,3-5 Yrs,"Operational risk
data science
Analytical
Artificial Intelligence
Machine learning
SCALA
big data
Forecasting"
Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,Ahmedabad,2-5 Yrs,"Predictive Modeling
XGBoost
Time Series Analysis
Time Series
Machine Learning
Modeling
Python"
Data Scientist,Bigshyft Hiring for Appyhigh,Gurgaon,2-4 Yrs,"Data Mining
Statistical Modelling
NOsql
Python"
Data Scientist,Bigshyft Hiring for NextGen Invent Corporation,Noida,2-4 Yrs,"R
Hive
Data Mining
MATLAB
Machine Learning"
Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Mumbai,6-10 Yrs,"R
Machine Learning ML
Statistical Modelling
MATLAB
Python"
Data Scientist For Leading Malaysian Retai Bank -work In Kuala Lumpur,Mission Consultancy Services,Malaysia,3-8 Yrs,"Predictive Modeling
Analytics
Python
Product Development
Customer Experience
Insurance
Banking
Personal Loans"
Data Scientist,MyITBridge,"Trivandrum, Kochi",3-6 Yrs,"Tensorflow
data
Artificial Intelligence
AI
Big Data
Machine Learning
Statistics
Data Science"
Hiring For Data Analyst/ Data Scientist For an Organisation in Delhi,M/s SIWA SEARCHER PVT. LTD.,Delhi NCR,3-6 Yrs,"Statistical Modeling
Data Mining
Advanced Excel
Data Cleaning
Algorithm
Python"
Lead Data Scientist - Machine Learning Models,vPhrase,Pune,8-13 Yrs,"Data Science
R
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning"
Data Scientist,Anlage Infotech (I) Pvt. Ltd.,Bengaluru,7-12 Yrs,"natural language processing
data science libraries
Deep learning libraries
Xdata
data mining
Jupyter notebook
machine learning
Clustering"
Data Scientist/Data Science/ Data Science Lead,Holcim Services (South Aisa) Limited,Navi Mumbai,6-11 Yrs,"deep learning
algorithms
python
r
nlp
data mining
data structures
mysql"
Data Scientist - Machine Learning,Best Infosystems Ltd,Chennai,5-10 Yrs,"Java
deep learning
C
Data Scientist
Data Management
Machine Learning
IEEE
Python"
Data Scientist - Machine Learning/ Predictive Modeling,Pearl Consulting,Chennai,4-8 Yrs,"Predictive Modeling
Visualization
Data Scientist
Data Management
Spatial Data Infrastructure
Statistical Analyst
Algorithm
Machine Learning"
Lead Data Scientist - Deep Learning/machine Learning,Confidential,Bengaluru,4-9 Yrs,"R
OpenCV
Data Scientist
Data Management
Time Series Forecasting
Distributed Systems
Machine Learning
Deep Learning"
Senior Data Scientist / Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,Anywherein India,5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Lead Data Scientist,Lobo Staffing Solutions Private Limited,Mumbai,10-18 Yrs,"R
Project Management
Customer Loyalty
Tableau
Management Skills
Analytics
SQL
Solution Architecture"
Data Scientist,Anlage Infotech (I) Pvt. Ltd.,Pune,10-16 Yrs,"Data Science
AI/ML
Python
Algorithm Development
Logistic Regression
Artificial Intelligence
Natural Language Processing
Big Data"
Data Scientist/ Senior Data Scientist - CPG Domain,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,4-8 Yrs,"Data Science
Data Scientist
Statistical Modeling
Statistics
Analytics
Consulting - Consumer Goods
SQL
Python"
Lead Data Scientist,Lobo Staffing Solutions Private Limited,Mumbai,10-18 Yrs,"Project Management
Customer Loyalty
Tableau
Management Skills
Analytics
SQL
Solution Architecture"
Senior Data Scientist/ Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,India,4-8 Yrs,"Data Science
NLP
Data Scientist
Data Management
Statistical Modeling
Big Data
Machine Learning
SQL"
Senior Data Scientist - Mathematical Finance,Franklin Templeton International,Hyderabad,4-6 Yrs,"Data analysis
data science
Wealth management
Analytical
Machine learning
HTTP
Medical insurance
Data mining"
Data Scientist - IT,Ehireo,Gurgaon,4-9 Yrs,"R
Business Solutions
Algorithms
Image Processing
Programming
Machine Learning
Python"
Data Scientist,Gray Routes,Mumbai,0-2 Yrs,"Data Science
MatplotLib
Artificial Intelligence
Data Scientist
Pandas
Keras
Tensorflow GPU
Seaborn"
Junior Data Scientist/ta,WSD CONSULTANT PRIVATE LIMITED,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Gurgaon",1-5 Yrs,"Data Science
Machine learning content development
Artificial Intelligence
Data Scientist
Machine Learning"
Data Scientist - ETL/ Analytics,The Hiring Story,Mumbai,3-6 Yrs,"R
Data Scientist
ETL
Machine Learning
Analytics
Python
SQL"
Con - Big Data Analytics + Data Scientist,Pylon Management Consulting Pvt Ltd,Mumbai,2-4 Yrs,"Data Science
Pyspark
Hive
Big Data Analytics
R
Artificial Intelligence
Hadoop
big data technologies"
Data Scientist Lead - Machine Learning,Tatvic,Ahmedabad,6-11 Yrs,"Data Science
Business Intelligence
BigQuery
Data Scientist
Data Warehousing
Data Analytics
Machine Learning"
Senior Data Scientist - Predictive Modeling/ Machine Learning,MY Search,Bengaluru,10-15 Yrs,"Predictive Modeling
Java
R
C++
C
Data Scientist
Data Management
Machine Learning"
Associate Vice President - Data Scientist - Iit/nit/iim/xlri,Huquo Consulting Pvt. Ltd,Gurgaon,8-12 Yrs,"Data Science
NLP
Data Scientist
Big Data
Machine Learning
Analytics
Python"
Data Scientist - Sas/sql/spss,Talpro,"Delhi NCR, Bengaluru",8-12 Yrs,"R
SAS
Data Scientist
Data Management
SPSS
Analytics
SQL"
Data Scientist - NLP/ Machine Learning,The Recruiters,Bengaluru,5-9 Yrs,"Data Science
Data Integrity
NLP
Artificial Intelligence
Data Scientist
Data Management
Neural Networks
Machine Learning"
Data Scientist - AI + ML - Bpo/kpo,Maven Workforce Pvt. Ltd,Pune,5-10 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Data Management
Big Data
Data Analytics
Machine Learning"
Lead Data Scientist,Lobo Staffing Solutions Private Limited,Mumbai,10-16 Yrs,"Tableau
SQL
Python
Scipy
R
Factor Analysis
Statistical Modeling
SVM"
Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,"Mumbai, Bengaluru",2-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
Data Scientist - Machine Learning/ Deep Learning - BFS,Maven Workforce Pvt. Ltd,Pune,6-11 Yrs,"Data Science
NLP
SAS
Data Scientist
Data Management
Data Modeling
Data Warehousing
Data Analytics"
